Age;Gender;Cold smoked fish_R;_RHot smoked fish;Gravad fish_R;Cooked meat_R;Sausage_R;Pâté_R;fv-RTE;Cold smoked fish;Hot smoked fish;Gravad fish;Cooked meat;Sausage;Pâté;Soft and semi-soft cheese;fv-cook
01-04;Female;25.68;25.68;25.68;21.52;38.42;18.81;No data;25.68;25.68;25.68;21.52;38.42;18.81;21.01;No data
01-04;Male;20.52;20.52;20.52;22.95;43.93;21.67;No data;20.52;20.52;20.52;22.95;43.93;21.67;19.82;No data
05-14;Female;54.10;54.10;54.10;30.80;53.58;27.99;No data;54.10;54.10;54.10;30.80;53.58;27.99;27.25;No data
05-14;Male;56.03;56.03;56.03;31.68;63.08;29.35;No data;56.03;56.03;56.03;31.68;63.08;29.35;42.75;No data
15-24;Female;56.10;56.10;56.10;38.70;68.11;35.54;No data;56.10;56.10;56.10;38.70;68.11;35.54;39.63;No data
15-24;Male;56.75;56.75;56.75;51.09;90.06;49.09;No data;56.75;56.75;56.75;51.09;90.06;49.09;43.37;No data
25-44;Female;63.72;63.72;63.72;41.64;60.72;41.24;No data;63.72;63.72;63.72;41.64;60.72;41.24;48.45;No data
25-44;Male;77.54;77.54;77.54;53.32;78.55;52.51;No data;77.54;77.54;77.54;53.32;78.55;52.51;44.96;No data
45-64;Female;61.41;61.41;61.41;41.94;62.90;41.07;No data;61.41;61.41;61.41;41.94;62.90;41.07;45.85;No data
45-64;Male;87.44;87.44;87.44;53.35;78.03;48.86;No data;87.44;87.44;87.44;53.35;78.03;48.86;43.55;No data
65-74;Female;59.56;59.56;59.56;40.37;55.40;31.27;49.00;59.56;59.56;59.56;40.37;55.40;31.27;32.40;49.00
65-74;Male;58.01;58.01;58.01;42.33;69.83;43.83;49.00;58.01;58.01;58.01;42.33;69.83;43.83;39.79;49.00
75+;Female;48.89;48.89;48.89;29.88;62.59;32.96;No data;48.89;48.89;48.89;29.88;62.59;32.96;35.68;No data
75+;Male;66.05;66.05;66.05;41.90;61.02;38.15;No data;66.05;66.05;66.05;41.90;61.02;38.15;41.09;No data
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;First ROP then Normal packaging;;;;;;
